animal	treatment	genetics	tank	dose	TE	Binary							
636	3	2	19	2	4	1							
637	3	2	19	2	4	1							
638	3	2	19	2	4	1							
639	3	2	19	2	4	1							
640	3	2	19	2	4	1							
641	3	2	19	2	4	1							
642	3	2	19	2	4	1							
643	3	2	19	2	4	1							
644	3	2	19	2	4	1							
645	3	2	19	2	4	1							
646	3	2	19	2	4	1							
647	3	2	19	2	4	1							
648	3	2	19	2	5	1							
649	3	2	19	2	5	1							
650	3	2	19	2	5	1							
651	3	2	19	2	5	1							
652	3	2	19	2	5	1							
653	3	2	19	2	5	1							
654	3	2	19	2	5	1							
655	3	2	19	2	5	1							
656	3	2	19	2	6	0							
657	3	2	19	2	6	0							
658	3	2	19	2	6	0							
659	3	2	19	2	6	0							
660	3	2	19	2	6	0							
661	3	2	19	2	6	0							
662	3	2	19	2	6	0							
663	3	2	19	2	6	0							
664	3	2	19	2	6	0							
665	3	2	19	2	6	0							
666	3	2	19	2	6	0							
667	3	2	19	2	6	0							
668	3	2	19	2	6	0							
669	3	2	19	2	6	0							
670	3	2	19	2	6	0							
671	3	2	19	2	6	0							
672	3	2	19	2	6	0							
673	3	2	20	2	3	1							
674	3	2	20	2	3	1							
675	3	2	20	2	3	1							
676	3	2	20	2	3	1							
677	3	2	20	2	3	1							
678	3	2	20	2	3	1							
679	3	2	20	2	3	1							
680	3	2	20	2	3	1							
681	3	2	20	2	3	1							
682	3	2	20	2	3	1							
683	3	2	20	2	3	1							
684	3	2	20	2	4	1							
685	3	2	20	2	4	1							
686	3	2	20	2	4	1							
687	3	2	20	2	4	1							
688	3	2	20	2	4	1							
689	3	2	20	2	4	1							
690	3	2	20	2	4	1							
691	3	2	20	2	4	1							
692	3	2	20	2	4	1							
693	3	2	20	2	4	1							
694	3	2	20	2	4	1							
695	3	2	20	2	4	1							
696	3	2	20	2	4	1							
697	3	2	20	2	4	1							
698	3	2	20	2	4	1							
699	3	2	20	2	5	1							
700	3	2	20	2	5	1							
701	3	2	20	2	5	1							
702	3	2	20	2	5	1							
703	3	2	20	2	5	1							
704	3	2	20	2	5	1							
705	3	2	20	2	5	1							
706	3	2	20	2	5	1							
707	3	2	20	2	5	1							
708	3	2	20	2	5	1							
709	3	2	20	2	5	1							
710	3	2	20	2	6	0							
711	3	2	20	2	6	0							
712	3	2	20	2	6	0							
713	3	2	20	2	6	0							
714	3	2	20	2	6	0							
715	3	2	20	2	6	0							
716	3	2	20	2	6	0							
717	3	2	20	2	6	0							
718	3	2	20	2	6	0							
719	3	2	20	2	6	0							
720	3	2	20	2	6	0							
721	3	1	21	2	3	1							
722	3	1	21	2	3	1							
723	3	1	21	2	3	1							
724	3	1	21	2	3	1							
725	3	1	21	2	3	1							
726	3	1	21	2	3	1							
727	3	1	21	2	3	1							
728	3	1	21	2	3	1							
729	3	1	21	2	3	1							
730	3	1	21	2	3	1							
731	3	1	21	2	3	1							
732	3	1	21	2	3	1							
733	3	1	21	2	3	1							
734	3	1	21	2	3	1							
735	3	1	21	2	3	1							
736	3	1	21	2	3	1							
737	3	1	21	2	4	1							
738	3	1	21	2	4	1							
739	3	1	21	2	4	1							
740	3	1	21	2	4	1							
741	3	1	21	2	4	1							
742	3	1	21	2	4	1							
743	3	1	21	2	4	1							
744	3	1	21	2	4	1							
745	3	1	21	2	4	1							
746	3	1	21	2	4	1							
747	3	1	21	2	4	1							
748	3	1	21	2	5	1							
