animal	treatment	genetics	tank	dose	TE	Binary							
611	A	2	19	2	6	0							
612	A	2	19	2	6	0							
613	A	2	19	2	6	0							
614	A	2	19	2	6	0							
615	A	2	19	2	6	0							
616	A	2	19	2	6	0							
617	A	2	19	2	6	0							
618	A	2	19	2	6	0							
619	A	2	19	2	6	0							
620	A	2	19	2	6	0							
621	A	2	19	2	6	0							
622	A	2	19	2	6	0							
623	A	2	19	2	6	0							
624	A	2	19	2	6	0							
625	A	2	20	2	3	1							
626	A	2	20	2	3	1							
627	A	2	20	2	3	1							
628	A	2	20	2	3	1							
629	A	2	20	2	3	1							
630	A	2	20	2	3	1							
631	A	2	20	2	3	1							
632	A	2	20	2	3	1							
633	A	2	20	2	3	1							
634	A	2	20	2	3	1							
635	A	2	20	2	3	1							
636	A	2	20	2	4	1							
637	A	2	20	2	4	1							
638	A	2	20	2	4	1							
639	A	2	20	2	4	1							
640	A	2	20	2	4	1							
641	A	2	20	2	4	1							
642	A	2	20	2	4	1							
643	A	2	20	2	4	1							
644	A	2	20	2	4	1							
645	A	2	20	2	4	1							
646	A	2	20	2	4	1							
647	A	2	20	2	4	1							
648	A	2	20	2	4	1							
649	A	2	20	2	4	1							
650	A	2	20	2	4	1							
651	A	2	20	2	5	1							
652	A	2	20	2	5	1							
653	A	2	20	2	5	1							
654	A	2	20	2	5	1							
655	A	2	20	2	5	1							
656	A	2	20	2	5	1							
657	A	2	20	2	5	1							
658	A	2	20	2	5	1							
659	A	2	20	2	5	1							
660	A	2	20	2	5	1							
661	A	2	20	2	5	1							
662	A	2	20	2	6	0							
663	A	2	20	2	6	0							
664	A	2	20	2	6	0							
665	A	2	20	2	6	0							
666	A	2	20	2	6	0							
667	A	2	20	2	6	0							
668	A	2	20	2	6	0							
669	A	2	20	2	6	0							
670	A	2	20	2	6	0							
671	A	2	20	2	6	0							
672	A	2	20	2	6	0							
673	A	1	21	2	3	1							
674	A	1	21	2	3	1							
675	A	1	21	2	3	1							
676	A	1	21	2	3	1							
677	A	1	21	2	3	1							
678	A	1	21	2	3	1							
679	A	1	21	2	3	1							
680	A	1	21	2	3	1							
681	A	1	21	2	3	1							
682	A	1	21	2	3	1							
683	A	1	21	2	3	1							
684	A	1	21	2	3	1							
685	A	1	21	2	3	1							
686	A	1	21	2	3	1							
687	A	1	21	2	3	1							
688	A	1	21	2	3	1							
689	A	1	21	2	4	1							
690	A	1	21	2	4	1							
691	A	1	21	2	4	1							
692	A	1	21	2	4	1							
693	A	1	21	2	4	1							
694	A	1	21	2	4	1							
695	A	1	21	2	4	1							
696	A	1	21	2	4	1							
697	A	1	21	2	4	1							
698	A	1	21	2	4	1							
699	A	1	21	2	4	1							
700	A	1	21	2	5	1							
701	A	1	21	2	5	1							
702	A	1	21	2	5	1							
703	A	1	21	2	5	1							
704	A	1	21	2	5	1							
705	A	1	21	2	5	1							
706	A	1	21	2	5	1							
707	A	1	21	2	6	0							
708	A	1	21	2	6	0							
709	A	1	21	2	6	0							
710	A	1	21	2	6	0							
711	A	1	21	2	6	0							
712	A	1	21	2	6	0							
713	A	1	21	2	6	0							
714	A	1	21	2	6	0							
715	A	1	21	2	6	0							
716	A	1	21	2	6	0							
717	A	1	21	2	6	0							
718	A	1	21	2	6	0							
719	A	1	21	2	6	0							
720	A	1	21	2	6	0							
721	A	1	22	2	3	1							
722	A	1	22	2	3	1							
723	A	1	22	2	3	1							
724	A	1	22	2	3	1							
725	A	1	22	2	3	1							
726	A	1	22	2	3	1							
727	A	1	22	2	3	1							
728	A	1	22	2	3	1							
729	A	1	22	2	3	1							
730	A	1	22	2	3	1							
731	A	1	22	2	3	1							
732	A	1	22	2	3	1							
733	A	1	22	2	3	1							
734	A	1	22	2	3	1							
735	A	1	22	2	3	1							
736	A	1	22	2	3	1							
737	A	1	22	2	3	1							
738	A	1	22	2	3	1							
739	A	1	22	2	3	1							
740	A	1	22	2	3	1							
741	A	1	22	2	3	1							
742	A	1	22	2	3	1							
743	A	1	22	2	4	1							
744	A	1	22	2	4	1							
745	A	1	22	2	4	1							
746	A	1	22	2	4	1							
747	A	1	22	2	4	1							
748	A	1	22	2	4	1							
749	A	1	22	2	4	1							
750	A	1	22	2	4	1							
751	A	1	22	2	4	1							
752	A	1	22	2	4	1							
753	A	1	22	2	4	1							
754	A	1	22	2	4	1							
755	A	1	22	2	4	1							
756	A	1	22	2	4	1							
757	A	1	22	2	4	1							
758	A	1	22	2	4	1							
759	A	1	22	2	5	1							
760	A	1	22	2	6	0							
761	A	1	22	2	6	0							
762	A	1	22	2	6	0							
763	A	1	22	2	6	0							
764	A	1	22	2	6	0							
765	A	1	22	2	6	0							
766	A	1	22	2	6	0							
767	A	1	22	2	6	0							
768	A	1	22	2	6	0							
769	A	2	23	2	3	1							
770	A	2	23	2	3	1							
771	A	2	23	2	3	1							
772	A	2	23	2	3	1							
773	A	2	23	2	3	1							
774	A	2	23	2	3	1							
775	A	2	23	2	3	1							
776	A	2	23	2	3	1							
777	A	2	23	2	3	1							
778	A	2	23	2	3	1							
779	A	2	23	2	4	1							
780	A	2	23	2	4	1							
781	A	2	23	2	4	1							
782	A	2	23	2	4	1							
783	A	2	23	2	4	1							
784	A	2	23	2	4	1							
785	A	2	23	2	4	1							
786	A	2	23	2	4	1							
787	A	2	23	2	4	1							
788	A	2	23	2	4	1							
789	A	2	23	2	4	1							
790	A	2	23	2	4	1							
791	A	2	23	2	4	1							
792	A	2	23	2	5	1							
793	A	2	23	2	5	1							
794	A	2	23	2	5	1							
795	A	2	23	2	5	1							
796	A	2	23	2	5	1							
797	A	2	23	2	5	1							
798	A	2	23	2	5	1							
799	A	2	23	2	5	1							
800	A	2	23	2	5	1							
801	A	2	23	2	6	0							
802	A	2	23	2	6	0							
803	A	2	23	2	6	0							
804	A	2	23	2	6	0							
805	A	2	23	2	6	0							
806	A	2	23	2	6	0							
807	A	2	23	2	6	0							
808	A	2	23	2	6	0							
809	A	2	23	2	6	0							
810	A	2	23	2	6	0							
811	A	2	23	2	6	0							
812	A	2	23	2	6	0							
813	A	2	23	2	6	0							
814	A	2	23	2	6	0							
815	A	2	23	2	6	0							
816	A	2	23	2	6	0							
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
